new entry "Passive_Critic"
type "PassiveData"
data "DisplayName" "hd1953a23g140eg4843g9fccg1d46813b7a63;1"
data "Icon" "Action_MenacingAttack_Melee"
data "Description" "hbb21816cga013g4799g9e3bgf6710b10043d;1"
data "Boosts" "CriticalHit(AttackRoll,Success,Always);ActionResource(ActionPoint,6,0);ActionResource(BonusActionPoint,6,0);CriticalHit(AttackTarget,Failure,Always)"
data "Properties" "Highlighted;IsToggled;ToggledDefaultAddToHotbar"
data "ToggleGroup" ""
data "StatsFunctors" ""
data "ToggleOnFunctors" ""
data "ToggleOffFunctors" ""
data "ToggleOnEffect" "VFX_Spells_Cast_Sorcerer_Metamagic_Careful_HeadFX_01:Dummy_HeadFX"
data "ToggleOffEffect" "VFX_Spells_Cast_Sorcerer_Metamagic_Extended_HeadFX_01:Dummy_HeadFX"
